,file_name,machine,normal,anormal,artefacts,classification,view_classes_3,is_jaw,is_spine,split_anomaly,split_classification,train_val_test
51,17_12-25_r,1,x,,,0,1,0,1,train,train,train
52,17_12-26_l,1,x,,,0,2,1,0,train,train,train
53,17_12-26_r,1,x,,,0,0,0,0,train,train,train
54,17_12-27_l,1,x,,,0,1,0,1,train,train,test
55,17_12-27_r,1,x,,,0,1,0,1,train,train,test
56,17_12-28_l,1,x,,,0,1,0,1,train,train,train
57,17_12-28_r,1,x,,,0,1,0,1,train,train,train
58,17_12-29_l,1,x,,,0,1,0,1,train,train,test
59,17_12-29_r,1,x,,,0,1,0,1,train,train,test
60,17_12-30_l,1,x,,,0,1,0,1,train,train,train
61,17_12-30_r,1,x,,,0,1,0,1,train,train,train
62,17_12-31_l,1,x,,,0,0,0,0,train,train,test
63,17_12-31_r,1,x,,,0,1,0,1,train,train,test
64,17_12-32_l,1,x,,,0,0,0,0,train,train,train
65,17_12-32_r,1,x,,,0,2,1,0,train,train,train
66,17_12-33_l,1,x,,,0,0,0,0,train,train,train
67,17_12-33_r,1,x,,,0,2,1,0,train,train,train
68,17_12-34_l,1,x,,,0,0,0,0,train,train,train
69,17_12-34_r,1,x,,,0,0,0,0,train,train,train
70,17_12-35_l,1,x,,,0,2,1,0,train,train,train
71,17_12-35_r,1,x,,,0,2,1,0,train,train,train
72,17_12-36_l,1,x,,,0,0,0,0,train,train,train
73,17_12-36_r,1,x,,,0,2,1,0,train,train,train
74,17_12-37_l,1,x,,,0,0,0,0,train,train,train
75,17_12-37_r,1,x,,,0,2,1,0,train,train,train
76,17_12-38_l,1,x,,,0,1,0,1,train,train,train
77,17_12-38_r,1,x,,,0,1,0,1,train,train,train
78,17_12-39_l,1,x,,,0,0,0,0,train,train,train
79,17_12-39_r,1,x,,,0,2,1,0,train,train,train
80,17_12-40_l,1,x,,,0,0,0,0,train,train,train
81,17_12-40_r,1,x,,,0,0,0,0,train,train,train
82,17_12-41_l,1,x,,,0,0,0,0,train,train,train
83,17_12-41_r,1,x,,,0,2,1,0,train,train,train
84,17_12-42_l,1,x,,,0,2,1,0,train,train,train
85,17_12-42_r,1,x,,,0,2,1,0,train,train,train
86,17_12-43_l,1,x,,,0,3,1,1,test,test,train
87,17_12-43_r,1,x,,,0,1,0,1,train,test,train
88,17_12-44_l,1,x,,,0,2,1,0,train,train,train
89,17_12-44_r,1,x,,,0,2,1,0,train,train,train
90,17_12-45_l,1,x,,,0,0,0,0,train,train,train
91,17_12-45_r,1,x,,,0,2,1,0,train,train,train
92,17_12-46_l,1,x,,,0,0,0,0,train,train,val
93,17_12-46_r,1,x,,,0,0,0,0,train,train,val
94,17_12-47_l,1,x,,,0,0,0,0,train,train,train
95,17_12-47_r,1,x,,,0,2,1,0,train,train,train
96,17_12-48_l,1,x,,,0,0,0,0,train,train,train
97,17_12-48_r,1,x,,,0,2,1,0,train,train,train
98,17_12-49_l,1,x,,,0,0,0,0,train,train,test
99,17_12-49_r,1,x,,,0,0,0,0,train,train,test
100,17_12-50_l,1,x,,,0,0,0,0,train,train,train
101,17_12-50_r,1,x,,,0,0,0,0,train,train,train
102,17_12-51_l,1,x,,,0,0,0,0,train,train,train
103,17_12-51_r,1,x,,,0,0,0,0,train,train,train
104,17_12-52_l,1,x,,,0,2,1,0,train,train,train
105,17_12-52_r,1,x,,,0,2,1,0,train,train,train
106,17_12-53_l,1,x,,,0,0,0,0,train,train,train
107,17_12-53_r,1,x,,,0,2,1,0,train,train,train
108,17_12-54_l,1,x,,,0,0,0,0,train,train,train
109,17_12-54_r,1,x,,,0,2,1,0,train,train,train
110,17_12-55_l,1,x,,,0,0,0,0,train,train,train
111,17_12-55_r,1,x,,,0,0,0,0,train,train,train
112,17_12-56_l,1,x,,,0,0,0,0,train,train,train
113,17_12-56_r,1,x,,,0,2,1,0,train,train,train
114,17_12-57_l,1,x,,,0,1,0,1,train,train,train
115,17_12-57_r,1,x,,,0,1,0,1,train,train,train
116,17_12-58_l,1,x,,,0,1,0,1,train,train,train
117,17_12-58_r,1,x,,,0,2,1,0,train,train,train
118,17_12-59_l,1,x,,,0,0,0,0,train,train,train
119,17_12-59_r,1,x,,,0,2,1,0,train,train,train
120,17_12-60_l,1,x,,,0,1,0,1,train,train,train
121,17_12-60_r,1,x,,,0,1,0,1,train,train,train
122,17_12-61_l,1,x,,,0,1,0,1,train,train,train
123,17_12-61_r,1,x,,,0,1,0,1,train,train,train
124,17_12-62_l,1,x,,,0,1,0,1,train,train,val
125,17_12-62_r,1,x,,,0,1,0,1,train,train,val
126,17_12-63_l,1,x,,,0,1,0,1,train,train,train
127,17_12-63_r,1,x,,,0,3,1,1,train,train,train
128,17_12-64_l,0,x,,,0,1,0,1,train,train,train
129,17_12-64_r,0,x,,,0,1,0,1,train,train,train
130,17_12-65_l,0,,x,,8,2,1,0,test,test,test
131,17_12-65_r,0,x,,,0,2,1,0,train,test,test
132,17_12-66_l,0,x,,,0,2,1,0,train,train,val
133,17_12-66_r,0,x,,,0,2,1,0,train,train,val
134,17_12-67_l,0,x,,,0,2,1,0,train,train,train
135,17_12-67_r,0,x,,,0,2,1,0,train,train,train
136,17_12-68_l,0,x,,,0,2,1,0,train,train,train
137,17_12-68_r,0,x,,,0,2,1,0,train,train,train
138,17_12-69_l,0,x,,,0,2,1,0,train,train,train
139,17_12-69_r,0,x,,,0,2,1,0,train,train,train
140,17_12-70_l,0,x,,,0,2,1,0,train,train,test
141,17_12-70_r,0,x,,,0,2,1,0,train,train,test
142,17_12-71_l,0,x,,,0,2,1,0,train,train,train
143,17_12-71_r,0,x,,,0,2,1,0,train,train,train
144,17_12-72_l,0,x,,,0,3,1,1,train,train,train
145,17_12-72_r,0,x,,,0,3,1,1,train,train,train
146,17_12-73_l,0,x,,x,10,2,1,0,test,test,train
147,17_12-73_r,0,x,,x,10,2,1,0,test,test,train
148,17_12-74_l,0,x,,,0,3,1,1,test,test,train
149,17_12-74_r,0,x,,,0,3,1,1,test,test,train
150,17_12-75_l,0,x,,,0,2,1,0,test,test,train
151,17_12-75_r,0,x,,,0,2,1,0,test,test,train
152,17_12-76_l,0,x,,,0,3,1,1,train,train,train
153,17_12-76_r,0,x,,,0,3,1,1,train,train,train
154,17_12-77_l,0,x,,,0,3,1,1,train,train,test
155,17_12-77_r,0,x,,,0,3,1,1,train,train,test
156,17_12-78_l,0,x,,,0,3,1,1,train,train,val
157,17_12-78_r,0,x,,,0,3,1,1,train,train,val
158,17_12-79_l,0,x,,,0,2,1,0,train,train,train
159,17_12-79_r,0,x,,,0,2,1,0,train,train,train
160,17_12-80_l,0,x,,,0,3,1,1,train,train,train
161,17_12-80_r,0,x,,,0,3,1,1,train,train,train
162,17_12-81_l,0,x,,,0,2,1,0,train,train,train
163,17_12-81_r,0,x,,,0,3,1,1,train,train,train
164,17_12-82_l,0,x,,,0,0,0,0,train,train,train
165,17_12-82_r,0,x,,,0,0,0,0,train,train,train
166,17_12-83_l,0,x,,,0,2,1,0,train,train,train
167,17_12-83_r,0,x,,,0,2,1,0,train,train,train
168,17_12-84_l,0,x,,,0,3,1,1,train,train,train
169,17_12-84_r,0,x,,,0,3,1,1,train,train,train
170,17_12-85_l,0,x,,,0,3,1,1,train,train,train
171,17_12-85_r,0,x,,,0,3,1,1,train,train,train
172,17_12-86_l,0,x,,,0,0,0,0,train,train,train
173,17_12-86_r,0,x,,,0,1,0,1,train,train,train
174,17_12-87_l,0,x,,,0,3,1,1,train,train,train
175,17_12-87_r,0,x,,,0,3,1,1,train,train,train
176,17_12-88_l,0,x,,,0,3,1,1,train,train,train
177,17_12-88_r,0,x,,,0,1,0,1,train,train,train
178,17_12-89_l,0,x,,,0,3,1,1,train,train,train
179,17_12-89_r,0,x,,,0,3,1,1,train,train,train
180,17_12-90_l,0,,x,,8,2,1,0,test,test,test
181,17_12-90_r,0,,x,,8,2,1,0,test,test,test
182,17_12-91_l,0,x,,x,10,0,0,0,test,test,val
183,17_12-91_r,0,?,?,?,7,0,0,0,test,test,val
184,17_12-92_l,0,x,,,0,2,1,0,train,train,train
185,17_12-92_r,0,x,,,0,2,1,0,train,train,train
186,17_12-93_l,0,,?,,7,2,1,0,test,test,test
187,17_12-93_r,0,x,,,0,2,1,0,train,test,test
188,17_12-94_l,0,x,,,0,2,1,0,train,train,train
189,17_12-94_r,0,x,,,0,2,1,0,train,train,train
190,17_12-95_l,0,x,,,0,2,1,0,train,train,train
191,17_12-95_r,0,x,,,0,2,1,0,train,train,train
192,17_12-96_l,0,x,,,0,2,1,0,train,train,train
193,17_12-96_r,0,x,,,0,2,1,0,train,train,train
194,17_12-97_l,0,x,,x,10,2,1,0,test,test,train
195,17_12-97_r,0,x,,x,10,2,1,0,test,test,train
196,17_12-98_l,0,x,,x,10,2,1,0,test,test,train
197,17_12-98_r,0,x,,,0,2,1,0,train,test,train
198,17_12-99_l,0,x,,x,10,2,1,0,test,test,train
199,17_12-99_r,0,x,,,0,2,1,0,train,test,train
200,17_12-100_l,0,x,,,0,2,1,0,train,train,train
201,17_12-100_r,0,x,,,0,2,1,0,train,train,train
202,17_12-101_l,0,x,,,0,0,0,0,train,train,train
203,17_12-101_r,0,x,,,0,0,0,0,train,train,train
204,17_12-102_l,0,x,,,0,3,1,1,train,train,train
205,17_12-102_r,0,x,,,0,1,0,1,train,train,train
206,17_12-103_l,0,x,,,0,2,1,0,train,train,val
207,17_12-103_r,0,x,,,0,2,1,0,train,train,val
208,17_12-104_l,0,x,,,0,2,1,0,train,train,train
209,17_12-104_r,0,x,,,0,2,1,0,train,train,train
210,17_12-105_l,0,x,,,0,2,1,0,train,train,train
211,17_12-105_r,0,x,,,0,2,1,0,train,train,train
212,17_12-106_l,0,x,,,0,2,1,0,train,train,test
213,17_12-106_r,0,x,,,0,2,1,0,train,train,test
214,17_12-107_l,0,x,,,0,2,1,0,train,train,val
215,17_12-107_r,0,x,,,0,1,0,1,train,train,val
216,17_12-108_l,0,x,,,0,2,1,0,train,train,train
217,17_12-108_r,0,x,,,0,2,1,0,train,train,train
218,17_12-109_l,0,x,,,0,2,1,0,train,train,train
219,17_12-109_r,0,x,,,0,2,1,0,train,train,train
220,17_12-110_l,0,x,,,0,3,1,1,train,train,train
221,17_12-110_r,0,x,,,0,3,1,1,train,train,train
222,17_12-111_l,0,x,,,0,3,1,1,train,train,train
223,17_12-111_r,0,x,,,0,3,1,1,train,train,train
224,17_12-112_l,0,x,,,0,2,1,0,train,train,train
225,17_12-112_r,0,x,,,0,2,1,0,train,train,train
226,17_12-113_l,0,x,,,0,2,1,0,train,train,train
227,17_12-113_r,0,x,,,0,2,1,0,train,train,train
228,17_12-114_l,0,,x,,8,2,1,0,test,test,test
229,17_12-114_r,0,x,,,0,2,1,0,train,test,test
230,17_12-115_l,0,x,,,0,2,1,0,train,train,val
231,17_12-115_r,0,,x,,8,2,1,0,test,train,val
232,17_12-116_l,0,x,,,0,3,1,1,train,train,train
233,17_12-116_r,0,x,,,0,3,1,1,train,train,train
234,17_12-117_l,0,x,,,0,2,1,0,train,train,train
235,17_12-117_r,0,x,,,0,2,1,0,train,train,train
236,18_01-0_l,1,x,,,0,0,0,0,train,train,train
237,18_01-0_r,1,x,,,0,0,0,0,train,train,train
238,18_01-1_l,1,x,,,0,2,1,0,train,train,train
239,18_01-1_r,1,x,,,0,2,1,0,train,train,train
240,18_01-2_l,1,,x,,8,0,0,0,test,test,val
241,18_01-2_r,1,,x,,8,2,1,0,test,test,val
242,18_01-3_l,1,x,,,0,1,0,1,train,train,train
243,18_01-4_l,1,x,,,0,0,0,0,train,train,train
244,18_01-4_r,1,x,,,0,1,0,1,train,train,train
245,18_01-5_l,1,x,,,0,0,0,0,train,train,test
246,18_01-5_r,1,x,,,0,1,0,1,train,train,test
247,18_01-6_l,1,x,,,0,1,0,1,train,train,val
248,18_01-6_r,1,x,,,0,2,1,0,train,train,val
249,18_01-7_l,1,x,,,0,2,1,0,train,train,train
250,18_01-7_r,1,x,,,0,2,1,0,train,train,train
251,18_01-8_l,1,x,,,0,3,1,1,train,train,train
252,18_01-8_r,1,x,,,0,2,1,0,train,train,train
253,18_01-9_l,1,x,,,0,2,1,0,train,train,train
254,18_01-9_r,1,x,,,0,2,1,0,train,train,train
255,18_01-10_l,1,x,,,0,1,0,1,train,train,train
256,18_01-10_r,1,x,,,0,1,0,1,train,train,train
257,18_01-11_l,1,x,,,0,0,0,0,train,train,train
258,18_01-11_r,1,x,,,0,0,0,0,train,train,train
259,18_01-12_l,1,x,,,0,1,0,1,train,train,train
260,18_01-12_r,1,x,,,0,2,1,0,train,train,train
261,18_01-13_l,1,x,,,0,1,0,1,train,train,test
262,18_01-13_r,1,x,,,0,2,1,0,train,train,test
263,18_01-14_l,1,x,,,0,1,0,1,train,train,train
264,18_01-14_r,1,x,,,0,3,1,1,train,train,train
265,18_01-15_l,1,x,,,0,1,0,1,train,train,train
266,18_01-15_r,1,x,,,0,1,0,1,train,train,train
267,18_01-16_l,1,x,,,0,1,0,1,train,train,train
268,18_01-16_r,1,x,,,0,2,1,0,train,train,train
269,18_01-17_l,1,x,,,0,0,0,0,train,train,train
270,18_01-17_r,1,x,,,0,2,1,0,train,train,train
271,18_01-18_l,1,x,,,0,2,1,0,train,train,train
272,18_01-18_r,1,x,,,0,2,1,0,train,train,train
273,18_01-19_l,1,x,,,0,0,0,0,train,train,train
274,18_01-19_r,1,x,,,0,2,1,0,train,train,train
275,18_01-20_l,1,,?,,7,2,1,0,test,test,test
276,18_01-20_r,1,x,,,0,2,1,0,train,test,test
277,18_01-21_l,1,,x,?,8,2,1,0,test,test,val
278,18_01-21_r,1,x,,,0,2,1,0,train,test,val
279,18_01-22_l,1,x,,,0,0,0,0,train,train,train
280,18_01-22_r,1,x,,,0,1,0,1,train,train,train
281,18_01-23_l,1,x,,,0,2,1,0,train,train,train
282,18_01-23_r,1,x,,,0,2,1,0,train,train,train
283,18_01-24_l,1,x,,,0,3,1,1,train,train,train
284,18_01-24_r,1,x,,,0,1,0,1,train,train,train
285,18_01-25_l,1,x,,,0,0,0,0,train,train,train
286,18_01-25_r,1,x,,,0,0,0,0,train,train,train
287,18_01-26_l,1,x,,,0,3,1,1,train,train,test
288,18_01-26_r,1,x,,,0,3,1,1,train,train,test
289,18_01-27_l,1,x,,,0,1,0,1,train,train,train
290,18_01-27_r,1,x,,,0,3,1,1,train,train,train
291,18_01-28_l,1,x,,,0,2,1,0,train,train,train
292,18_01-28_r,1,x,,,0,2,1,0,train,train,train
293,18_01-29_l,1,,x,,8,0,0,0,test,test,val
294,18_01-29_r,1,,x,,8,2,1,0,test,test,val
295,18_01-30_l,1,x,,,0,0,0,0,train,train,train
296,18_01-30_r,1,x,,,0,2,1,0,train,train,train
297,18_01-31_l,1,x,,,0,3,1,1,train,train,train
298,18_01-31_r,1,x,,,0,3,1,1,train,train,train
299,18_01-32_l,1,x,,,0,3,1,1,train,train,train
300,18_01-32_r,1,x,,,0,3,1,1,train,train,train
301,18_01-33_l,1,x,,,0,1,0,1,train,train,val
302,18_01-33_r,1,,?,,7,1,0,1,test,train,val
303,18_01-34_l,1,x,,,0,2,1,0,train,train,train
304,18_01-34_r,1,x,,,0,2,1,0,train,train,train
305,18_01-35_l,1,x,,x,10,0,0,0,test,test,train
306,18_01-35_r,1,x,,,0,2,1,0,train,test,train
307,18_01-36_l,1,x,,,0,0,0,0,train,train,train
308,18_01-36_r,1,x,,,0,2,1,0,train,train,train
309,18_01-37_l,1,x,,,0,2,1,0,train,train,train
310,18_01-37_r,1,x,,,0,3,1,1,train,train,train
311,18_01-38_l,1,x,,,0,2,1,0,train,train,train
312,18_01-38_r,1,x,,,0,1,0,1,test,train,train
313,18_01-39_l,1,x,,,0,3,1,1,train,train,train
314,18_01-39_r,1,x,,,0,3,1,1,train,train,train
315,18_01-40_l,1,x,,,0,1,0,1,train,train,val
316,18_01-40_r,1,x,,,0,2,1,0,train,train,val
317,18_01-41_l,1,x,,,0,1,0,1,train,train,train
318,18_01-41_r,1,x,,,0,1,0,1,train,train,train
319,18_01-42_l,1,x,,,0,1,0,1,train,train,train
320,18_01-42_r,1,x,,,0,1,0,1,train,train,train
321,18_01-43_l,1,x,,,0,1,0,1,train,train,train
322,18_01-43_r,1,x,,,0,3,1,1,train,train,train
323,18_01-44_l,1,x,,,0,2,1,0,train,train,train
324,18_01-44_r,1,x,,,0,2,1,0,train,train,train
325,18_01-45_l,1,,x,,8,0,0,0,test,test,test
326,18_01-45_r,1,,x,,8,2,1,0,test,test,test
327,18_01-46_l,1,x,,,0,0,0,0,train,train,test
328,18_01-46_r,1,x,,,0,2,1,0,train,train,test
329,18_01-47_l,1,,x,,8,2,1,0,test,test,val
330,18_01-47_r,1,x,,,0,3,1,1,train,test,val
331,18_01-48_l,1,x,,,0,0,0,0,train,train,test
332,18_01-48_r,1,x,,,0,2,1,0,train,train,test
333,18_01-49_l,1,x,,,0,0,0,0,train,train,train
334,18_01-49_r,1,x,,,0,2,1,0,train,train,train
335,18_01-50_l,1,x,,,0,1,0,1,train,train,train
336,18_01-50_r,1,x,,,0,1,0,1,train,train,train
337,18_01-51_l,1,x,,,0,2,1,0,train,train,train
338,18_01-51_r,1,x,,,0,2,1,0,train,train,train
339,18_01-52_l,1,x,,,0,1,0,1,train,train,train
340,18_01-52_r,1,x,,,0,1,0,1,train,train,train
341,18_01-53_l,1,x,,,0,1,0,1,train,train,test
342,18_01-53_r,1,x,,,0,1,0,1,train,train,test
343,18_01-54_l,1,x,,,0,1,0,1,test,test,train
344,18_01-54_r,1,x,,,0,2,1,0,train,test,train
345,18_01-55_l,1,x,,,0,2,1,0,train,train,train
346,18_01-55_r,1,x,,,0,3,1,1,train,train,train
347,18_01-56_l,1,x,,,0,3,1,1,train,train,val
348,18_01-56_r,1,x,,,0,3,1,1,train,train,val
349,18_01-57_l,1,,x,,8,3,1,1,test,test,test
350,18_01-57_r,1,x,,,0,3,1,1,train,test,test
351,18_01-58_l,1,x,,,0,1,0,1,train,train,train
352,18_01-58_r,1,x,,,0,3,1,1,train,train,train
353,18_01-59_l,1,x,,,0,1,0,1,train,train,train
354,18_01-59_r,1,x,,,0,2,1,0,train,train,train
355,18_01-60_l,1,x,,,0,1,0,1,train,train,train
356,18_01-60_r,1,x,,,0,1,0,1,train,train,train
357,18_01-61_l,1,,?,,7,3,1,1,test,test,test
358,18_01-61_r,1,,?,,7,3,1,1,test,test,test
359,18_01-62_l,1,x,,,0,1,0,1,train,train,train
360,18_01-62_r,1,x,,,0,1,0,1,train,train,train
361,18_01-63_l,1,x,,,0,1,0,1,train,train,train
362,18_01-63_r,1,x,,,0,1,0,1,train,train,train
363,18_01-64_l,1,x,,,0,2,1,0,train,train,train
364,18_01-64_r,1,x,,,0,2,1,0,train,train,train
365,18_01-65_l,1,x,,,0,2,1,0,train,train,train
366,18_01-65_r,1,x,,,0,2,1,0,train,train,train
367,18_01-66_l,1,x,,,0,3,1,1,train,train,train
368,18_01-66_r,1,x,,,0,3,1,1,train,train,train
369,18_01-67_l,1,x,,,0,0,0,0,train,train,train
370,18_01-67_r,1,x,,,0,0,0,0,train,train,train
371,18_01-68_l,1,x,,,0,0,0,0,train,train,val
372,18_01-68_r,1,,?,,7,2,1,0,test,train,val
373,18_01-69_l,1,x,,,0,0,0,0,train,train,train
374,18_01-69_r,1,x,,,0,2,1,0,train,train,train
375,18_01-70_l,1,x,,,0,1,0,1,train,train,train
376,18_01-70_r,1,x,,,0,1,0,1,train,train,train
377,18_01-71_l,1,x,,,0,0,0,0,train,train,train
378,18_01-71_r,1,x,,,0,2,1,0,train,train,train
379,18_01-72_l,1,x,,,0,1,0,1,train,train,val
380,18_01-72_r,1,,x,,8,3,1,1,test,train,val
381,18_01-73_l,1,x,,,0,2,1,0,train,train,test
382,18_01-73_r,1,,?,,7,0,0,0,test,train,test
383,18_01-74_l,1,x,,,0,0,0,0,train,train,train
384,18_01-74_r,1,x,,,0,2,1,0,train,train,train
385,18_01-75_l,1,x,,,0,1,0,1,train,train,train
386,18_01-75_r,1,x,,,0,1,0,1,train,train,train
387,18_01-76_l,1,x,,,0,0,0,0,train,train,train
388,18_01-76_r,1,x,,,0,2,1,0,train,train,train
389,18_01-77_l,1,x,,,0,0,0,0,train,train,train
390,18_01-77_r,1,x,,,0,0,0,0,train,train,train
391,18_01-78_l,1,x,,,0,0,0,0,train,train,val
392,18_01-78_r,1,x,,,0,2,1,0,train,train,val
393,18_01-79_l,1,x,,,0,2,1,0,train,train,test
394,18_01-79_r,1,x,,,0,2,1,0,train,train,test
395,18_01-80_l,1,x,,,0,0,0,0,train,train,train
396,18_01-80_r,1,x,,,0,2,1,0,train,train,train
397,18_01-81_l,1,x,,,0,2,1,0,train,train,train
398,18_01-81_r,1,x,,,0,2,1,0,train,train,train
399,18_01-82_l,1,,?,,7,1,0,1,test,test,val
400,18_01-82_r,1,x,,,0,1,0,1,train,test,val
401,18_01-83_l,1,x,,,0,0,0,0,train,train,train
402,18_01-83_r,1,x,,,0,2,1,0,train,train,train
403,18_01-84_l,1,,x,,8,3,1,1,test,test,test
404,18_01-84_r,1,x,,,0,2,1,0,train,test,test
405,18_01-85_l,1,x,,,0,2,1,0,train,train,train
406,18_01-85_r,1,x,,,0,2,1,0,train,train,train
407,18_01-86_l,1,x,,,0,2,1,0,train,train,train
408,18_01-86_r,1,x,,,0,2,1,0,train,train,train
409,18_01-87_l,1,x,,,0,0,0,0,train,train,val
410,18_01-87_r,1,x,,,0,0,0,0,train,train,val
411,18_01-88_l,1,x,,,0,0,0,0,train,train,train
412,18_01-88_r,1,x,,,0,2,1,0,train,train,train
413,18_01-89_l,1,x,,,0,1,0,1,train,train,train
414,18_01-89_r,1,x,,,0,1,0,1,train,train,train
415,18_01-90_l,1,x,,,0,0,0,0,train,train,train
416,18_01-90_r,1,x,,,0,2,1,0,train,train,train
417,18_01-91_l,1,x,,,0,0,0,0,train,train,train
418,18_01-91_r,1,x,,,0,2,1,0,train,train,train
419,18_01-92_l,1,x,,,0,0,0,0,train,train,train
420,18_01-92_r,1,x,,,0,2,1,0,train,train,train
421,18_01-93_l,1,x,,,0,1,0,1,train,train,train
422,18_01-93_r,1,x,,,0,1,0,1,train,train,train
423,18_01-94_l,1,x,,,0,3,1,1,train,train,test
424,18_01-94_r,1,x,,,0,2,1,0,train,train,test
425,18_01-95_l,1,x,,,0,3,1,1,train,train,train
426,18_01-95_r,1,x,,,0,0,0,0,train,train,train
427,18_01-96_l,1,x,,,0,2,1,0,train,train,train
428,18_01-96_r,1,x,,,0,2,1,0,train,train,train
429,18_01-97_l,1,x,,,0,1,0,1,train,train,train
430,18_01-97_r,1,x,,,0,2,1,0,train,train,train
431,18_01-98_l,1,,x,,8,1,0,1,test,test,test
432,18_01-98_r,1,x,,,0,1,0,1,train,test,test
433,18_01-99_l,1,x,,,0,2,1,0,train,train,train
434,18_01-99_r,1,x,,,0,2,1,0,train,train,train
435,18_01-100_l,1,x,,,0,1,0,1,train,train,train
436,18_01-100_r,1,x,,,0,3,1,1,train,train,train
437,18_01-101_l,1,x,,,0,3,1,1,train,train,train
438,18_01-101_r,1,x,,,0,3,1,1,train,train,train
439,18_01-102_l,1,x,,,0,1,0,1,train,train,train
440,18_01-102_r,1,x,,,0,3,1,1,train,train,train
441,18_01-103_l,1,x,,,0,2,1,0,train,train,train
442,18_01-103_r,1,x,,,0,2,1,0,train,train,train
443,18_01-104_l,1,x,,,0,3,1,1,train,train,train
444,18_01-104_r,1,x,,,0,3,1,1,train,train,train
445,18_01-105_l,1,x,,,0,2,1,0,train,train,train
446,18_01-105_r,1,x,,,0,2,1,0,train,train,train
447,18_01-106_l,1,x,,,0,3,1,1,train,train,train
448,18_01-106_r,1,x,,,0,3,1,1,train,train,train
449,18_01-107_l,1,x,,,0,1,0,1,train,train,train
450,18_01-107_r,1,x,,,0,1,0,1,train,train,train
451,18_01-108_l,1,x,,,0,1,0,1,train,train,test
452,18_01-108_r,1,,x,,8,3,1,1,test,train,test
453,18_01-109_l,1,x,,,0,0,0,0,train,train,test
454,18_01-109_r,1,x,,,0,0,0,0,train,train,test
455,18_01-110_l,1,x,,,0,0,0,0,train,train,train
456,18_01-110_r,1,x,,,0,2,1,0,train,train,train
457,18_01-111_l,1,x,,,0,2,1,0,train,train,train
458,18_01-111_r,1,x,,,0,2,1,0,train,train,train
459,18_01-112_l,1,,x,,8,0,0,0,test,test,test
460,18_01-112_r,1,x,,,0,2,1,0,train,test,test
461,18_01-113_l,1,x,,,0,1,0,1,train,train,train
